time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059580921533688,0.0078678131103515,0.005091939653669,0.0058889389038085,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,114.552,0.0,0.0095367431640625,0.01068115234375,0.0095367431640625,0.0116348266601562,33.952,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061752772567295,0.0085830688476562,0.0048512997834578,0.0056743621826171,0.0061988830566406,0.0104904174804687,0.0104904174804687,0.008249282836914,0.00762939453125,0.00762939453125,0.0108718872070312,0.0205039978027343,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,116.304,0.0,0.0,0.0,0.0,0.0,60.712,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060902963770498,0.0080823898315429,0.0052111489432198,0.0061511993408203,0.0061511993408203,0.0071525573730468,0.0071525573730468,0.0077009201049804,0.0131130218505859,0.0131130218505859,0.0105977058410644,0.0190258026123047,0.0,0.0,0.496,1.424,0.0,0.0,14.52,15.544,115.648,0.0,0.0,0.0,0.0,0.0,35.424,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062224888565516,0.0085830688476562,0.0048225576227361,0.0054597854614257,0.0057935714721679,0.0069141387939453,0.0069141387939453,0.0083684921264648,0.0100135803222656,0.0100135803222656,0.0096797943115234,0.0216007232666015,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,116.528,0.0,0.0,0.0,0.0,0.0,57.968,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063827381798283,0.0090599060058593,0.0049609404343825,0.0058412551879882,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.728,0.0,0.0,0.0,0.0,0.0,76.528,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060790806860473,0.0081062316894531,0.005379319190979,0.007033348083496,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.6,0.0,0.0,0.0,0.0,0.0,45.248,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061799044632793,0.0081062316894531,0.0050393017855557,0.0057220458984375,0.0,0.0069141387939453,0.0069141387939453,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,115.016,0.0,0.0,0.0,0.0,0.0,62.848,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059592783154539,0.00762939453125,0.0048117204145951,0.0054597854614257,0.0056266784667968,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0112056732177734,0.0112056732177734,0.0105857849121093,0.0203609466552734,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,114.536,0.0,0.0,0.0,0.0,0.0,59.04,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059380389676235,0.0078678131103515,0.0049386705671037,0.005340576171875,0.0055313110351562,0.0083446502685546,0.0083446502685546,0.0069141387939453,0.0095367431640625,0.0095367431640625,0.0109672546386718,0.0207424163818359,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,115.6,0.0,0.0,0.0,0.0,0.0,16.264,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060371833272499,0.0081062316894531,0.0055551528930664,0.0074148178100585,0.006413459777832,0.0095367431640625,0.0095367431640625,0.0090360641479492,0.0119209289550781,0.0119209289550781,0.0106573104858398,0.0232934951782226,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,115.984,0.0,0.0,0.0,0.0,0.0,24.048,0
