time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0053644180297851,0.0060319900512695,0.0060081481933593,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.00762939453125,0.0,0.0117778778076171,0.0232219696044921,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0053644180297851,0.0060319900512695,0.0067710876464843,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0087738037109375,0.0,0.0126361846923828,0.034642219543457,0.496,1.36,0.0,0.0,118.448,7.488,8.464,8.928,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0053644180297851,0.0060319900512695,0.0061194101969401,0.0,0.0152587890625,0.0152587890625,0.0,0.0,0.0081539154052734,0.0,0.0113805135091145,0.0296592712402343,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0053644180297851,0.0060319900512695,0.0059127807617187,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0081062316894531,0.0,0.01068115234375,0.0265359878540039,0.496,1.36,0.0,0.0,118.448,8.264,7.736,8.928,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0053644180297851,0.0060319900512695,0.0,0.0096559524536132,0.0090599060058593,0.0090599060058593,0.0113248825073242,0.0118494033813476,0.0,0.013899803161621,0.0,0.0,0.496,1.36,1.696,1.696,118.448,0.0,0.0,8.928,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.008559226989746,0.0075101852416992,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0098943710327148,0.0122785568237304,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,118.448,0.0,0.0,8.928,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.00762939453125,0.00762939453125,0.0053644180297851,0.0060319900512695,0.0062942504882812,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0081062316894531,0.0,0.0109672546386718,0.0210762023925781,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0053644180297851,0.0060319900512695,0.0067710876464843,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0084400177001953,0.0,0.011754035949707,0.0277519226074218,0.496,1.36,0.0,0.0,118.448,7.488,8.464,8.928,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0053644180297851,0.0060319900512695,0.0064055124918619,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0085830688476562,0.0,0.010840098063151,0.0278949737548828,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.005960464477539,0.005960464477539,0.0053644180297851,0.0060319900512695,0.0057458877563476,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0077247619628906,0.0,0.0112056732177734,0.027012825012207,0.496,1.36,0.0,0.0,118.448,8.264,7.736,8.928,1
