time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065711918722819,0.0088214874267578,0.0039018489219046,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0100135803222656,0.0100135803222656,0.0193595886230468,0,0.496,0.0,1.424,0.0,127.576,25.152,27.344,0.0,16779.776,0.0128746032714843,0.0128746032714843,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060212612152099,0.0078916549682617,0.0052716996934678,0.0,0.0,0.0066757202148437,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0112056732177734,0.0112056732177734,0.0193595886230468,0,0.496,0.0,1.424,0.0,112.0,25.152,27.344,0.0,36.792,0.0085830688476562,0.0085830688476562,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060844421386718,0.0081062316894531,0.0,0.0,0.0,0.0,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.00762939453125,0.00762939453125,0.0193595886230468,0,0.496,0.0,1.392,0.0,112.0,25.152,27.344,0.0,0.0,0.011444091796875,0.011444091796875,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059674767886891,0.0082731246948242,0.0042976477207281,0.0,0.0,0.0052928924560546,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0078678131103515,0.0078678131103515,0.0193595886230468,0,0.496,0.0,1.36,0.0,124.512,25.152,27.344,0.0,385.08,0.0071525573730468,0.0071525573730468,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059877462054959,0.0081062316894531,0.0061194101969401,0.0,0.0,0.0073432922363281,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0116825103759765,0.0116825103759765,0.0193595886230468,0,0.496,0.0,1.424,0.0,113.256,25.152,27.344,0.0,16.728,0.0104904174804687,0.0104904174804687,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059816050412032,0.0078678131103515,0.0048610899183485,0.0,0.0,0.006270408630371,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0069141387939453,0.0069141387939453,0.0193595886230468,0,0.496,0.0,1.424,0.0,120.712,25.152,27.344,0.0,130.64,0.0095367431640625,0.0095367431640625,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061559677124023,0.0078916549682617,0.0042265111749822,0.0,0.0,0.0050067901611328,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0078678131103515,0.0086307525634765,0.0193595886230468,0,1.344,0.0,2.272,0.0,112.0,25.152,27.344,0.0,315.128,0.0080108642578125,0.00762939453125,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062295705965249,0.0083208084106445,0.0042373483831232,0.0,0.0,0.0049591064453125,0.0,0.0,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0,0.496,0.0,1.392,0.0,122.384,0.0,0.0,0.0,243.088,0.0095367431640625,0.0095367431640625,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064754486083984,0.0088214874267578,0.0038733754133313,0.0,0.0,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0,0.496,0.0,1.424,0.0,112.0,0.0,0.0,0.0,8768.544,0.0088214874267578,0.0088214874267578,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060541712822605,0.0078678131103515,0.0073909759521484,0.0,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0,0.496,0.0,1.36,0.0,115.288,0.0,0.0,0.0,3.0,0.0109672546386718,0.0109672546386718,0
