time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063145160675048,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065060990366769,0.0092983245849609,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0081062316894531,0.0055551528930664,0.0081062316894531,0.0069618225097656,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,114.536,25.152,27.344,0.0,26.736,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059923323074189,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.009775161743164,0.0049670537312825,0.009775161743164,0.006413459777832,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.392,0.0,0.0,0.0,122.384,25.152,27.344,0.0,74.912,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063068238063831,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0083446502685546,0.0046207791283017,0.0083446502685546,0.0054836273193359,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,117.192,25.152,27.344,0.0,149.16,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061075485760892,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0073909759521484,0.0042915344238281,0.0073909759521484,0.0042915344238281,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063938460326547,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0081062316894531,0.0055313110351562,0.0081062316894531,0.0061511993408203,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,119.064,0.0,0.0,0.0,12.36,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061063624140041,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0069141387939453,0.0052452087402343,0.0060081481933593,0.0072956085205078,0.0126361846923828,0.0042915344238281,0.0126361846923828,0.0042915344238281,0.0,0.0,0.0,0.0,0.496,1.424,0.0,1.696,1.696,113.256,0.0,0.0,0.0,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062406063079833,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.00762939453125,0.0,0.00762939453125,0.0,0.0066757202148437,0.0087261199951171,0.0130176544189453,0.0240325927734375,0.496,1.36,0.0,0.0,0.0,112.0,4.52,3.504,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061917304992675,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0066757202148437,0.0,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059521198272705,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0162124633789062,0.0,0.0162124633789062,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006174219065699,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0107288360595703,0.0073115030924479,0.0107288360595703,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,121.928,0.0,0.0,0.0,9.064,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061431334386417,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0078678131103515,0.0071525573730468,0.0078678131103515,0.0071525573730468,0.0069618225097656,0.0098228454589843,0.0117301940917968,0.0216484069824218,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058975978870296,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.00762939453125,0.0061988830566406,0.00762939453125,0.0061988830566406,0.0065326690673828,0.0084877014160156,0.0116825103759765,0.022125244140625,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062118662465917,0.0087976455688476,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.013589859008789,0.0051259994506835,0.013589859008789,0.0052213668823242,0.0066518783569335,0.0087261199951171,0.010085105895996,0.0216484069824218,0.496,1.424,0.0,0.0,0.0,115.52,8.264,7.736,0.0,3.168,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067571314369759,0.0092983245849609,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0159740447998046,0.0039056519519905,0.0159740447998046,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,137.96,0.0,0.0,0.0,28569.24,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073672527104467,0.009775161743164,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0.0104904174804687,0.0039226032305556,0.0104904174804687,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.192,0.0,0.0,0.0,10690.12,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062997068338726,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0131130218505859,0.0041434639378597,0.0131130218505859,0.0050067901611328,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.192,0.0,0.0,0.0,953.368,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062380264054483,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0121593475341796,0.0056853661170372,0.0121593475341796,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.712,0.0,0.0,0.0,33.176,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071938675228912,0.0095367431640625,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0123977661132812,0.0039266450756092,0.0123977661132812,0.0045299530029296,0.0061511993408203,0.0077724456787109,0.0113487243652343,0.0217437744140625,0.496,1.424,0.0,0.0,0.0,118.448,3.744,4.232,0.0,16949.104,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006624967745035,0.0090599060058593,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0081062316894531,0.0041594608224553,0.0081062316894531,0.0050067901611328,0.0058650970458984,0.0072956085205078,0.0123023986816406,0.0232696533203125,0.496,1.424,0.0,0.0,0.0,118.448,3.744,4.232,0.0,1384.776,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065069387454797,0.009012222290039,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.011444091796875,0.0046148138531183,0.011444091796875,0.005960464477539,0.0062942504882812,0.0081539154052734,0.0107288360595703,0.0280618667602539,0.496,1.424,0.0,0.0,0.0,115.68,8.264,7.736,0.0,401.928,0
