time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006507285198762,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0131130218505859,0.0131130218505859,0.0,0.0058809916178385,0.0,0.0,0.0,0.0086784362792968,0.0106493631998697,0.0255107879638671,0.0124802266744742,0.0061988830566406,0.496,1.84,0.0,0.0,11.968,12.008,113.256,19.879518072289155,1151.56,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064525698206107,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0078678131103515,0.0078678131103515,0.0,0.006103515625,0.0,0.0,0.0,0.008392333984375,0.0115394592285156,0.0301122665405273,0.0132825639512803,0.006723403930664,0.496,1.84,0.0,0.0,7.736,8.264,123.64,26.229508196721312,788.912,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068714369588823,0.0095367431640625,0.0140666961669921,0.0140666961669921,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269579631026073,0.0996589660644531,0.496,1.84,0.0,0.0,0.0,0.0,114.296,20.171673819742487,1636.384,1
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064289569854736,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153321486253004,0.0092267990112304,0.496,1.84,0.0,0.0,0.0,0.0,116.632,26.76056338028169,838.144,1
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067496299743652,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0,0.0071525573730468,0.0,0.0,0.0,0.0092506408691406,0.0116348266601562,0.022125244140625,0.00840425491333,0.0067472457885742,0.496,1.84,0.0,0.0,4.232,3.744,112.0,26.31578947368421,211.856,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067484378814697,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0,0.0068187713623046,0.0,0.0,0.0,0.0095367431640625,0.0110626220703125,0.0209808349609375,0.0131811414446149,0.0290393829345703,0.496,1.808,0.0,0.0,4.232,3.744,112.0,0.0,54.536,1
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064622110395289,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0066757202148437,0.0066757202148437,0.0,0.0061137335641043,0.0,0.0,0.0,0.0082731246948242,0.0114142894744873,0.028848648071289,0.0078678131103515,0.0078678131103515,0.496,1.808,0.0,0.0,11.44,12.536,113.256,0.0,1.192,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062411641839689,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0060558319091796,0.0,0.0,0.0,0.0074386596679687,0.0125408172607421,0.0250816345214843,0.0069141387939453,0.0082969665527343,0.496,1.776,0.0,0.0,4.232,3.744,119.576,40.0,6.936,1
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061312718177909,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0058174133300781,0.0,0.0,0.0,0.0081539154052734,0.0106573104858398,0.0257730484008789,0.0052452087402343,0.0052452087402343,0.496,1.84,0.0,0.0,7.736,8.264,113.256,0.0,1.192,1
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061583518981933,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,112.0,0.0,0.0,1
