time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073614687022596,0.0095367431640625,0.0,0.0038948335630822,0.0,0.0057220458984375,0.0045299530029296,0.0,0.0,0.0071525573730468,0.0101566314697265,0.0131130218505859,0.0131130218505859,0.0193595886230468,0,0.496,1.424,0.0,0.0,118.448,3.744,4.232,0.0,23680.048,0.0104904174804687,0.0104904174804687,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066733478906735,0.0095367431640625,0.0,0.00392484551654,0.0,0.0069141387939453,0.0045299530029296,0.0,0.0,0.0088214874267578,0.010228157043457,0.0088214874267578,0.0088214874267578,0.0249385833740234,0,0.496,1.424,0.0,0.0,113.256,8.264,7.736,0.0,8804.272,0.009775161743164,0.009775161743164,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062435131354872,0.0085353851318359,0.0,0.0057856241861979,0.0,0.0,0.0072002410888671,0.0,0.0,0.0,0.0,0.0157356262207031,0.0157356262207031,0.0,0,0.496,1.424,0.0,0.0,120.84,0.0,0.0,0.0,97.464,0.00762939453125,0.00762939453125,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062644481658935,0.0085830688476562,0.0,0.0048478444417317,0.0,0.0,0.0052452087402343,0.0,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,23.224,0.0102519989013671,0.0102519989013671,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061953067779541,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062382221221923,0.0081062316894531,0.0,0.0,0.0,0.0064373016357421,0.0,0.0,0.0,0.0077724456787109,0.0111103057861328,0.0066757202148437,0.0066757202148437,0.0216007232666015,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0078678131103515,0.0078678131103515,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060141086578369,0.0083446502685546,0.0,0.0,0.0,0.006723403930664,0.0,0.0,0.0,0.0087738037109375,0.0104904174804687,0.0066757202148437,0.0066757202148437,0.0195503234863281,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0064373016357421,0.0064373016357421,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062866590509367,0.0083446502685546,0.0,0.0085830688476562,0.0,0.0063657760620117,0.0085830688476562,0.0,0.0,0.0081777572631835,0.011444091796875,0.0133514404296875,0.0133514404296875,0.0298500061035156,0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0.0100135803222656,0.0100135803222656,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060719637135368,0.0083446502685546,0.0,0.00762939453125,0.0,0.0,0.00762939453125,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0083446502685546,0.0083446502685546,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060885699827279,0.0081062316894531,0.0,0.0069141387939453,0.0,0.0,0.0069141387939453,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0066757202148437,0.0066757202148437,0
