time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061678886413574,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061261653900146,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0064373016357421,0.0060081481933593,0.0064373016357421,0.007486343383789,0.0,0.0,0.0105857849121093,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060043524746871,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0119209289550781,0.0063896179199218,0.0119209289550781,0.0088691711425781,0.0,0.0,0.0115394592285156,0.0288963317871093,0.496,1.36,0.0,0.0,113.256,7.488,8.464,0.0,0.0,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059936770159213,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0045299530029296,0.0128746032714843,0.0064055124918619,0.0128746032714843,0.0084877014160156,0.0,0.0,0.0110626220703125,0.0278949737548828,0.496,1.36,0.0,0.0,113.256,12.008,11.968,0.0,0.0,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058465929173711,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0116825103759765,0.0066995620727539,0.0116825103759765,0.0091314315795898,0.0,0.0,0.0112295150756835,0.0281572341918945,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.0,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059318542480468,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0116825103759765,0.0,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060117244720458,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062203407287597,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0121593475341796,0.005960464477539,0.0121593475341796,0.0077247619628906,0.0,0.0,0.0113487243652343,0.0206470489501953,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060570240020751,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0083446502685546,0.0064849853515625,0.0083446502685546,0.0079631805419921,0.0,0.0,0.0111818313598632,0.0288009643554687,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941384083002,0.0085830688476562,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0065394810267857,0.0085830688476562,0.009465217590332,0.0,0.0,0.0109672546386718,0.0265836715698242,0.496,1.36,0.0,0.0,113.256,12.536,11.44,0.0,0.0,1.192,0
