time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_packet_loss_dl_percentage,a1_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062227249145507,0.0083684921264648,0.00762939453125,0.00762939453125,0.0,0.0109672546386718,0.0,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,2.096,3.64,112.0,0.0200271606445312,50.0,0.0215530395507812,0.0068545341491699,0.0091552734375,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061631202697753,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0088214874267578,0.0,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,6.68,7.208,112.0,0.0127724238804408,50.0,0.0248908996582031,0.0064108106825086,0.0073909759521484,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061249732971191,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0083446502685546,0.0,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.528,0.528,112.0,0.0183582305908203,0.0,0.0183582305908203,0.0052452087402343,0.0052452087402343,0.0,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060117244720458,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061383887903014,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0052452087402343,0.0071525573730468,0.0052452087402343,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061787183011942,0.0085830688476562,0.0133514404296875,0.0133514404296875,0.0050067901611328,0.0102519989013671,0.0050067901611328,0.0102519989013671,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,100.0,0.0,0.0,0.0,1.192,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061941384083002,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0057220458984375,0.009775161743164,0.0057220458984375,0.009775161743164,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,113.256,0.0,100.0,0.0,0.0,0.0,1.192,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061249732971191,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0109672546386718,0.0,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061094760894775,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0154972076416015,0.0,0.0154972076416015,0.005960464477539,0.0123977661132812,0.005960464477539,0.0123977661132812,0.496,1.36,0.0,1.0,0.848,0.848,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062811374664306,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0255107879638671,0.0071525573730468,0.0255107879638671,0.0071525573730468,0.496,1.36,0.0,3.0,0.848,0.848,0.592,0.592,112.0,0.0197887420654296,80.0,0.0197887420654296,512.489914894104,922.4772691726683,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061047077178955,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.496,1.36,1.0,2.0,0.0,0.0,1.568,3.704,112.0,0.0224113464355468,80.0,0.0224113464355468,-204.9846172332764,0.0113487243652343,0.0,1
