time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067018157807155,0.0083446502685546,0.006715456644694,0.0073512395222981,0.0088214874267578,0.0095367431640625,0.0047683715820312,0.0047683715820312,0.006103515625,0.0079154968261718,0.0095367431640625,0.009918212890625,0.0112056732177734,0.021219253540039,1.344,2.208,9.856,10.176,4.232,3.744,113.256,32.012343406677246,32.01339244842529,1.192,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0090599060058593,0.006723403930664,0.007486343383789,0.0081539154052734,0.0086784362792968,0.0038716257834921,0.0045299530029296,0.0056743621826171,0.0080108642578125,0.0126361846923828,0.0126361846923828,0.0108877817789713,0.0272750854492187,0.496,1.424,6.448,6.224,11.968,12.008,128.832,32.01436996459961,32.01436996459961,10918.672,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067102909088134,0.0085830688476562,0.0068545341491699,0.0065803527832031,0.0087261199951171,0.0072002410888671,0.0,0.0,0.0055789947509765,0.0073909759521484,0.0095367431640625,0.0095367431640625,0.0115394592285156,0.0231266021728515,0.496,1.424,5.6,6.512,4.232,3.744,112.0,32.0127010345459,32.0127010345459,0.0,1
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066959857940673,0.0088214874267578,0.0078678131103515,0.0070929527282714,0.0121593475341796,0.008249282836914,0.0,0.0,0.0066518783569335,0.0089406967163085,0.0112056732177734,0.0112056732177734,0.010991096496582,0.0264406204223632,0.496,1.36,6.096,5.728,7.736,8.264,112.0,32.02247619628906,32.02247619628906,0.0,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067365169525146,0.0085830688476562,0.0061591466267903,0.0063180923461914,0.0083446502685546,0.0069141387939453,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.496,1.36,9.856,10.176,0.0,0.0,112.0,32.011985778808594,32.011985778808594,0.0,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006638765335083,0.0085830688476562,0.005960464477539,0.0072002410888671,0.0078678131103515,0.0089645385742187,0.0,0.0,0.0064373016357421,0.0084877014160156,0.0107288360595703,0.0107288360595703,0.0113964080810546,0.0221729278564453,0.496,1.36,6.448,6.224,4.232,3.744,112.0,32.01007843017578,32.01007843017578,0.0,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065084713608471,0.0078678131103515,0.0068545341491699,0.0070095062255859,0.0094413757324218,0.0079154968261718,0.0042915344238281,0.0042915344238281,0.0058174133300781,0.0074386596679687,0.0073909759521484,0.0073909759521484,0.0110149383544921,0.0211238861083984,0.496,1.36,5.6,6.512,4.232,3.744,113.256,32.012224197387695,32.012224197387695,1.192,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067172358878216,0.0085830688476562,0.006103515625,0.0090003013610839,0.0084400177001953,0.013136863708496,0.0050067901611328,0.0050067901611328,0.0061307634626116,0.0089168548583984,0.0088214874267578,0.0088214874267578,0.0107437372207641,0.0283718109130859,0.496,1.36,6.096,5.728,11.44,12.536,113.256,32.01150894165039,32.01150894165039,1.192,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067433314536934,0.0083446502685546,0.0055631001790364,0.0064770380655924,0.0066757202148437,0.0071525573730468,0.0092983245849609,0.0092983245849609,0.0057697296142578,0.0071048736572265,0.0107288360595703,0.0107288360595703,0.0111579895019531,0.0216484069824218,0.496,1.36,9.856,10.176,4.232,3.744,113.256,32.018423080444336,32.018423080444336,1.192,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068080425262451,0.0088214874267578,0.0064373016357421,0.0069141387939453,0.0089168548583984,0.0098228454589843,0.0,0.0,0.0056743621826171,0.007939338684082,0.0126361846923828,0.0126361846923828,0.010538101196289,0.0257253646850585,0.496,1.36,6.448,6.224,7.736,8.264,112.0,32.010555267333984,32.010555267333984,0.0,1
