time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061753935414582,0.0085830688476562,0.0053644180297851,0.0057220458984375,0.0,0.0,0.0066757202148437,0.0,0.0,0.0090837478637695,0.0102996826171875,0.0246047973632812,0.0,0.496,0.0,0.0,1.36,118.552,8.264,7.736,0.0,0.0090599060058593,0.0090599060058593,0.0107288360595703,0.0107288360595703,38.752,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063511404660668,0.0087976455688476,0.0053957888954564,0.0072002410888671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,115.904,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.009775161743164,0.009775161743164,46.424,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006190579922045,0.0083446502685546,0.0054415534524356,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,115.544,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0071525573730468,0.0071525573730468,54.264,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062406063079833,0.0083446502685546,0.0047772018997757,0.0051021575927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,112.0,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0066757202148437,0.0066757202148437,63.976,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006311010606218,0.008559226989746,0.0048436616596422,0.0055313110351562,0.0,0.0,0.006866455078125,0.0,0.0,0.0095367431640625,0.0102996826171875,0.0187397003173828,0.0,1.344,0.0,0.0,2.208,116.976,3.744,4.232,0.0,0.0116825103759765,0.0133991241455078,0.0061988830566406,0.0073432922363281,48.504,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063281747239146,0.0085830688476562,0.0051856040954589,0.0055313110351562,0.0,0.0,0.0056743621826171,0.0,0.0,0.0071525573730468,0.0108242034912109,0.0213623046875,0.0,0.496,0.0,0.0,1.36,114.712,3.744,4.232,0.0,0.011444091796875,0.011444091796875,0.0073909759521484,0.0073909759521484,47.472,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061158517106848,0.0083446502685546,0.0055313110351562,0.0072956085205078,0.0,0.0,0.0062465667724609,0.0,0.0,0.007939338684082,0.0104427337646484,0.0239849090576171,0.0,0.496,0.0,0.0,1.36,113.256,8.264,7.736,0.0,0.0126361846923828,0.0126361846923828,0.0085830688476562,0.0085830688476562,34.456,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063535010460579,0.0087976455688476,0.005203134873334,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,118.312,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0081062316894531,41.064,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061764575467251,0.0085830688476562,0.0052332878112792,0.0064849853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,115.904,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0069141387939453,0.0069141387939453,43.792,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061573673836627,0.0083446502685546,0.0048081080118815,0.0060796737670898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,114.344,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0083446502685546,0.0083446502685546,193.152,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065132160091874,0.0085830688476562,0.0049114227294921,0.0058650970458984,0.0,0.0,0.0061988830566406,0.0,0.0,0.0080108642578125,0.0102043151855468,0.0193119049072265,0.0,0.496,0.0,0.0,1.36,114.344,3.744,4.232,0.0,0.0073909759521484,0.0073909759521484,1031.6979885101318,1031.6979885101318,93.288,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062131170016616,0.0083446502685546,0.005503495534261,0.0075578689575195,0.0,0.0,0.0062465667724609,0.0,0.0,0.0079154968261718,0.0118732452392578,0.0225067138671875,0.0,0.0,0.0,0.0,0.0,114.424,3.744,4.232,0.0,0.0,0.0,0.0,0.0,50.496,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062320955950229,0.0085830688476562,0.0049513439799464,0.0059127807617187,0.0,0.0,0.0060081481933593,0.0,0.0,0.0078916549682617,0.0101566314697265,0.0239372253417968,1.0,1.344,0.0,0.0,4.56,114.344,8.264,7.736,0.0,0.008702278137207,0.0110864639282226,1020.9113756815592,2450.1665592193604,89.56,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062071861912362,0.0083446502685546,0.005340576171875,0.0064611434936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.352,113.256,0.0,0.0,0.0,0.0,0.0,2048.018455505371,2048.018455505371,61.584,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063735659759823,0.0088214874267578,0.0048665439381318,0.0054836273193359,0.0129938125610351,0.0129938125610351,0.0,0.0165224075317382,0.0144243240356445,0.0,0.0,0.0,0.0,0.0,1.696,1.696,0.0,115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.424,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063039288662447,0.0083446502685546,0.0050961971282958,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,115.584,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.792,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061918013166673,0.0083446502685546,0.0061511993408203,0.0077009201049804,0.0,0.0,0.007486343383789,0.0,0.0,0.0094890594482421,0.011444091796875,0.0203609466552734,1.0,0.496,0.0,0.0,5.696,117.184,3.744,4.232,0.0,0.0100135803222656,0.0100135803222656,0.0153779983520507,0.0194787979125976,22.432,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062558188367245,0.0085830688476562,0.0051458676656087,0.0058174133300781,0.0,0.0,0.0064849853515625,0.0,0.0,0.0087738037109375,0.011301040649414,0.0212669372558593,0.0,0.496,0.0,0.0,1.36,114.584,3.744,4.232,0.0,0.0088214874267578,0.0088214874267578,3054.70609664917,3054.70609664917,53.28,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063180923461914,0.0088214874267578,0.0049436793607823,0.0057220458984375,0.0,0.0,0.0063896179199218,0.0,0.0,0.0087976455688476,0.0105619430541992,0.0243425369262695,1.0,0.848,0.0,0.0,3.2,112.0,8.264,7.736,0.0,0.0061988830566406,0.0061988830566406,1024.0113735198977,1843.205976486206,72.704,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064066140958578,0.0083446502685546,0.0052452087402343,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,117.056,0.0,0.0,100.0,0.0,0.0,0.0,0.0,62.776,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062779624863426,0.0085830688476562,0.0050984896146334,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.304,0.0,0.0,100.0,0.0,0.0,0.0,0.0,65.104,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061457700068407,0.0080823898315429,0.0052792685372488,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.496,0.0,0.0,6.544,115.712,0.0,0.0,33.33333333333333,6903.54323387146,12426.36981010437,11143.325805664062,20057.973861694336,45.88,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062885850963025,0.0083446502685546,0.0050067901611328,0.0062465667724609,0.0,0.0,0.0066280364990234,0.0,0.0,0.0093460083007812,0.0113964080810546,0.0220298767089843,0.0,0.0,0.0,0.0,0.0,115.6,3.744,4.232,33.33333333333333,0.0,0.0,0.0,0.0,80.168,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006192922592163,0.0081300735473632,0.0051443393413837,0.0063180923461914,0.0,0.0,0.0057697296142578,0.0,0.0,0.0074386596679687,0.010538101196289,0.0202655792236328,0.0,0.0,0.0,0.0,0.0,112.0,3.744,4.232,33.33333333333333,0.0,0.0,0.0,0.0,55.28,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061799984167117,0.0083208084106445,0.0048720318338145,0.0054359436035156,0.0,0.0,0.0060558319091796,0.0,0.0,0.007939338684082,0.0102758407592773,0.0224828720092773,1.0,0.0,0.0,0.0,3.344,116.784,8.264,7.736,0.0,0.0,0.0,20224.02858734131,20224.02858734131,48.648,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064218815286361,0.0085830688476562,0.0051610610064338,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.952,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061016177656638,0.0083446502685546,0.0050476619175502,0.0064849853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.832,114.568,0.0,0.0,100.0,0.0,0.0,0.0,0.0,79.32,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062378326264938,0.0083446502685546,0.0048687583521792,0.0052452087402343,0.0,0.0,0.0060876210530598,0.0,0.0,0.0079631805419921,0.0092347462972005,0.0178813934326171,0.0,0.0,0.0,0.0,0.0,115.6,10.776,11.312,100.0,0.0,0.0,0.0,0.0,40.808,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063546813360535,0.0087976455688476,0.0049706661339962,0.0054836273193359,0.0,0.0,0.0068187713623046,0.0,0.0,0.009918212890625,0.0104904174804687,0.0188350677490234,1.0,0.0,0.0,0.0,7.312,115.6,3.744,4.232,0.0,0.0,0.0,16192.024946212769,16192.024946212769,69.768,1
