time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060844421386718,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0061511993408203,0.0,0.0,0.0075817108154296,0.0106334686279296,0.0203132629394531,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.0071525573730468,0.0060081481933593,0.0,0.0,0.0073909759521484,0.0108718872070312,0.0198841094970703,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059354305267333,0.0078916549682617,0.0092983245849609,0.0092983245849609,0.0123977661132812,0.0123977661132812,0.0060796737670898,0.0,0.0,0.0069618225097656,0.0102917353312174,0.025177001953125,0.0,0.0,0.496,1.36,0.0,0.0,9.32,6.68,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.006204813867066,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0100135803222656,0.0100135803222656,0.0,0.0071525573730468,0.0094413757324218,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,18.192,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0069544511140832,0.0095367431640625,0.0102519989013671,0.0102519989013671,0.0140666961669921,0.0140666961669921,0.0,0.0040728883860645,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,144.408,0.0,0.0,42695.024,0.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0068232564642877,0.0092744827270507,0.0088214874267578,0.0088214874267578,0.0140666961669921,0.0140666961669921,0.0,0.0044465065002441,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,611.408,0.0,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0058750608074131,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0069141387939453,0.00762939453125,0.00762939453125,0.009012222290039,0.011301040649414,0.0215530395507812,0.0,0.0,0.496,1.36,0.0,0.848,3.744,4.232,113.256,100.0,0.0150203704833984,1.192,0.0150203704833984,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061869621276855,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.006103515625,0.0,0.0,0.0075817108154296,0.0123023986816406,0.0234603881835937,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061261653900146,0.0081062316894531,0.00762939453125,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0065565109252929,0.0,0.0,0.0092983245849609,0.0100374221801757,0.0221967697143554,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060790806860473,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0100135803222656,0.0100135803222656,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,116.552,100.0,0.0,4.264,0.0,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061607360839843,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0152587890625,0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0062368402433632,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0073909759521484,0.0073909759521484,0.0,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,100.0,0.0,1.192,0.0,0.0,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061632981940881,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0131130218505859,0.0131130218505859,0.0059127807617187,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0107288360595703,0.019073486328125,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,100.0,0.0,1.192,0.0,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059225072908164,0.0081062316894531,0.0116825103759765,0.0116825103759765,0.0140666961669921,0.0140666961669921,0.0061988830566406,0.0073909759521484,0.0073909759521484,0.0078201293945312,0.0110149383544921,0.0203609466552734,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,100.0,0.0,1.192,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0083446502685546,0.009775161743164,0.009775161743164,0.0126361846923828,0.0160694122314453,0.006413459777832,0.0,0.0,0.0085830688476562,0.0105142593383789,0.0236034393310546,0.0,0.0,1.344,2.208,0.0,0.0,8.264,7.736,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0062322616577148,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
