time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006031634202644,0.0083446502685546,0.00762939453125,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0057837263268617,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0084638595581054,0.0095129013061523,0.0050067901611328,0.005960464477539,0.0050067901611328,0.007486343383789,0.0102043151855468,0.0187873840332031,0.0,0.0,1.344,2.208,0.0,0.0,3.744,4.232,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059902667999267,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0207424163818359,0.0207424163818359,0.0,0.0060677528381347,0.0,0.0083446502685546,0.0099778175354003,0.019073486328125,0.0,0.0,0.496,1.36,0.0,0.0,14.52,15.544,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059986114501953,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0,0.0061750411987304,0.0,0.0081777572631835,0.0105142593383789,0.0240564346313476,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059998151168082,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0055976535962975,0.0,0.0088691711425781,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,143.152,100.0,176.328,0.0,0.0,0.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060653686523437,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061213676565386,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0088214874267578,0.0046232472295346,0.0,0.0059127807617187,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,123.64,100.0,184.232,0.0,0.0,0.0,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059284381012418,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0066280364990234,0.0071525573730468,0.0080108642578125,0.0124931335449218,0.0228404998779296,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061538088974074,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.005960464477539,0.0095367431640625,0.0073909759521484,0.01068115234375,0.0193595886230468,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059020519256591,0.0076532363891601,0.0073909759521484,0.0073909759521484,0.0121593475341796,0.0121593475341796,0.0,0.0058889389038085,0.0,0.0083446502685546,0.0101566314697265,0.0240802764892578,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
