time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061488151550292,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0104904174804687,0.0104904174804687,0.0062783559163411,0.0,0.0085830688476562,0.0,0.0,0.0,0.0110149383544921,0.0272750854492187,0.0,0.0,0.496,1.36,0.0,0.0,12.008,11.968,112.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064937388839353,0.0088214874267578,0.0119209289550781,0.0119209289550781,0.0121593475341796,0.0121593475341796,0.006103515625,0.0,0.008392333984375,0.0,0.0,0.0,0.0105142593383789,0.025486946105957,0.003908090530687,0.0042915344238281,0.496,1.424,0.0,0.0,8.264,7.736,144.408,0.0,3383.248,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062570049988096,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.0054836273193359,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063447809931057,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.0054836273193359,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006188154220581,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0060558319091796,0.0,0.0077724456787109,0.0,0.0,0.0,0.0113964080810546,0.0216484069824218,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062978267669677,0.0085830688476562,0.009775161743164,0.009775161743164,0.0064373016357421,0.0064373016357421,0.0062942504882812,0.0,0.007939338684082,0.0,0.0,0.0,0.0117778778076171,0.0294685363769531,0.0,0.0,0.496,1.36,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061483805989984,0.0082969665527343,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0061477933611188,0.0,0.0081539154052734,0.0,0.0,0.0,0.010758638381958,0.026702880859375,0.0047683715820312,0.0076770782470703,0.496,1.424,0.0,0.0,12.536,11.44,127.576,0.0,204.672,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061483805989984,0.0082969665527343,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0060558319091796,0.0,0.0083684921264648,0.0,0.0,0.0,0.01068115234375,0.0257730484008789,0.0047683715820312,0.0076770782470703,0.496,1.36,0.0,0.0,8.264,7.736,127.576,0.0,204.672,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062641219713201,0.0081062316894531,0.009465217590332,0.0072717666625976,0.0100135803222656,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,1.344,2.208,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062972596548135,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0069141387939453,0.0069141387939453,0.0061194101969401,0.0,0.0079154968261718,0.0,0.0,0.0,0.0117778778076171,0.0251293182373046,0.0041219923231336,0.0052690505981445,0.496,1.424,0.0,0.0,10.776,11.312,139.216,0.0,987.488,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062921259662892,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.011444091796875,0.011444091796875,0.006723403930664,0.0,0.0087261199951171,0.0,0.0,0.0,0.0112056732177734,0.0220775604248046,0.0040352901565694,0.0050067901611328,0.496,1.36,0.0,0.0,3.744,4.232,118.448,0.0,1178.744,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063993444490195,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0128746032714843,0.0128746032714843,0.0058650970458984,0.0,0.0083446502685546,0.0,0.0,0.0,0.0114679336547851,0.0283002853393554,0.0038693028111611,0.0045299530029296,0.496,1.424,0.0,0.0,7.488,8.464,117.192,0.0,7047.712,0
