time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0075273845919329,0.0100135803222656,0.0089804331461588,0.0061591466267903,0.0113248825073242,0.007033348083496,0.0062465667724609,0.0039438604123549,0.0047683715820312,0.0076532363891601,0.0105619430541992,0.0,0.0,0.0270605087280273,0,0.0,0.0,9.856,10.176,8.264,7.736,117.888,0.0,0.0,22627.648,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0075998872813611,0.0100135803222656,0.0065803527832031,0.005960464477539,0.0080108642578125,0.0085353851318359,0.0,0.0041990444577973,0.0056028366088867,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0,0,0.496,2.48,6.448,6.224,0.0,0.0,118.448,1674.0162372589111,1674.0162372589111,1206.848,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0073055722820225,0.0095367431640625,0.0089168548583984,0.0068545341491699,0.011444091796875,0.0086069107055664,0.0064373016357421,0.0051585110751065,0.005960464477539,0.0092983245849609,0.0114917755126953,0.0,0.0,0.0222206115722656,0,0.0,0.0,5.6,6.512,3.744,4.232,117.192,0.0,0.0,27.656,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063669681549072,0.0088214874267578,0.0085830688476562,0.0057697296142578,0.0105142593383789,0.0074386596679687,0.00762939453125,0.0,0.0,0.0124931335449218,0.0113964080810546,0.0143051147460937,0.0143051147460937,0.0222682952880859,0,0.496,2.48,6.096,5.728,3.744,4.232,112.0,1674.0195751190186,1674.0195751190186,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0070121028635761,0.0092983245849609,0.0081459681193033,0.0073909759521484,0.0095367431640625,0.0100135803222656,0.0065008799235026,0.0039308294511434,0.0045299530029296,0.0089645385742187,0.0106175740559895,0.0,0.0,0.0292778015136718,0,0.0,0.0,9.856,10.176,12.008,11.968,122.384,0.0,0.0,23259.2,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0072854075265761,0.0100135803222656,0.0086784362792968,0.0072479248046875,0.0106334686279296,0.0105857849121093,0.0057220458984375,0.0039368409376878,0.0045299530029296,0.0073909759521484,0.0119209289550781,0.0131130218505859,0.0131130218505859,0.0239372253417968,0,0.496,2.48,6.448,6.224,3.744,4.232,117.192,1674.015998840332,1674.015998840332,14265.136,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064289569854736,0.0085830688476562,0.007486343383789,0.0091195106506347,0.0102996826171875,0.0107049942016601,0.0062227249145507,0.004434585571289,0.0060558319091796,0.0086069107055664,0.0111579895019531,0.0094175338745117,0.0119924545288085,0.0288248062133789,0,1.344,1.904,5.6,6.512,8.264,7.736,112.0,1674.008846282959,1674.008846282959,100.336,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061142444610595,0.0078678131103515,0.0063180923461914,0.0079631805419921,0.0073194503784179,0.0107765197753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.096,5.728,0.0,0.0,112.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006089756144813,0.0083446502685546,0.0073909759521484,0.0065962473551432,0.0083446502685546,0.00762939453125,0.0063896179199218,0.0078678131103515,0.0078678131103515,0.0081062316894531,0.0113487243652343,0.0107288360595703,0.0107288360595703,0.0224590301513671,0,0.496,2.416,9.856,10.176,3.744,4.232,113.256,1674.0100383758545,1674.0100383758545,1.192,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062807282405113,0.0088214874267578,0.0077247619628906,0.0077247619628906,0.0111103057861328,0.0127315521240234,0.0059127807617187,0.005960464477539,0.005960464477539,0.0075817108154296,0.0116348266601562,0.0,0.0,0.0236034393310546,0,0.0,0.0,6.448,6.224,3.744,4.232,113.256,0.0,0.0,1.192,1
