time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060162140955379,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0045299530029296,0.0109672546386718,0.0045299530029296,0.0109672546386718,0.0,0.0,0.0,0.496,1.424,0.0,0.848,0.848,0.0,0.0,113.256,0.0,1.192,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060340065268141,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0071525573730468,0.0068187713623046,0.013589859008789,0.013589859008789,0.0092983245849609,0.0,0.0,0.0,0.0,0.0142455101013183,0.0257730484008789,0.0,0.496,1.36,0.0,0.0,0.0,3.216,4.232,113.256,20.0,1.192,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059390068054199,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059998035430908,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0059127807617187,0.0104904174804687,0.0104904174804687,0.0073909759521484,0.0,0.0,0.0,0.0,0.2083778381347656,0.6102561950683595,0.0,0.496,1.36,1.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060045719146728,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.005960464477539,0.0095367431640625,0.0095367431640625,0.0068664550781249,0.0,0.0,0.0,0.0,0.0126361846923828,0.0264644622802734,0.0,0.496,1.36,1.0,0.0,0.0,8.792,7.736,112.0,8.333333333333332,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006188154220581,0.0078916549682617,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,8.333333333333332,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069394779666034,0.0092983245849609,0.00762939453125,0.00762939453125,0.003893442351885,0.0045299530029296,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,144.408,8.333333333333332,36706.4,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069660715537496,0.0100135803222656,0.0095367431640625,0.0095367431640625,0.0040016676250256,0.0047683715820312,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,118.448,8.333333333333332,2146.528,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058679438349026,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0042915344238281,0.0063180923461914,0.0095367431640625,0.0095367431640625,0.0091791152954101,0.0,0.0,0.0,0.0,0.0126361846923828,0.0233650207519531,1.0,0.496,1.424,1.0,0.0,0.0,4.368,4.76,113.256,14.285714285714285,1.192,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060093402862548,0.0085830688476562,0.0064373016357421,0.0075817108154296,0.0,0.0,0.0062465667724609,0.0098943710327148,0.0117063522338867,0.0085830688476562,0.0,0.0,0.0,0.0,0.0143051147460937,0.0266551971435546,0.0,1.344,2.208,1.0,0.0,0.0,3.744,4.232,112.0,16.666666666666664,0.0,1
