time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059830015571556,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0107288360595703,0.0081062316894531,0.0107288360595703,0.0058650970458984,0.0073909759521484,0.0073909759521484,0.0075340270996093,0.0112056732177734,0.0216960906982421,0.496,1.36,0.848,0.848,113.256,3.744,4.232,0.0071525573730468,0.0071525573730468,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497890187733,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0047683715820312,0.0064373016357421,0.0047683715820312,0.0064373016357421,0.0058650970458984,0.0073909759521484,0.0073909759521484,0.0083684921264648,0.0110387802124023,0.0281333923339843,0.496,1.36,0.848,0.848,113.256,7.488,8.464,0.0071525573730468,0.0071525573730468,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056995088188209,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0121593475341796,0.0066757202148437,0.0121593475341796,0.0059445699055989,0.0073909759521484,0.0073909759521484,0.008392333984375,0.0105063120524088,0.0267505645751953,0.496,1.36,0.848,0.848,113.256,12.008,11.968,0.0071525573730468,0.0071525573730468,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056999485667158,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0064770380655924,0.0078678131103515,0.0075101852416992,0.0078678131103515,0.0070571899414062,0.0131130218505859,0.0131130218505859,0.0092506408691406,0.010228157043457,0.0238895416259765,0.496,1.424,0.848,0.848,127.032,8.264,7.736,0.0064373016357421,0.0064373016357421,15.648,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056999485667158,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0064770380655924,0.0126361846923828,0.0075101852416992,0.0130176544189453,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,127.032,0.0,0.0,0.0,0.0,15.648,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056999485667158,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0064770380655924,0.0145435333251953,0.0075101852416992,0.0145435333251953,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,127.032,0.0,0.0,0.0,0.0,15.648,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056999485667158,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0064770380655924,0.0112056732177734,0.0075101852416992,0.0112056732177734,0.0060796737670898,0.0,0.0,0.0067710876464843,0.0113248825073242,0.0205039978027343,0.496,1.36,0.0,0.0,127.032,4.272,3.704,0.0,0.0,15.648,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060139632806545,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.004736582438151,0.0100135803222656,0.0057220458984375,0.0100135803222656,0.0064373016357421,0.0,0.0,0.0086069107055664,0.0109195709228515,0.0276088714599609,0.496,1.424,0.0,0.0,123.656,7.488,8.464,0.0,0.0,104.056,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061091810169786,0.0085830688476562,0.00762939453125,0.00762939453125,0.0046366139462119,0.0088214874267578,0.0054836273193359,0.0088214874267578,0.0062465667724609,0.0,0.0,0.0090599060058593,0.0116507212320963,0.0281810760498046,0.496,1.424,0.0,0.0,117.2,12.008,11.968,0.0,0.0,277.024,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059982337573967,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0044458052691291,0.011444091796875,0.0054836273193359,0.011444091796875,0.005507469177246,0.0,0.0,0.0063896179199218,0.0107765197753906,0.0244855880737304,0.496,1.424,0.0,0.0,118.448,8.264,7.736,0.0,0.0,134.728,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059331827495821,0.0081062316894531,0.009775161743164,0.009775161743164,0.0048060166208367,0.009775161743164,0.0069141387939453,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.36,0.0,0.0,0.0,0.0,171.848,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059450443704329,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0048478444417317,0.0071525573730468,0.0058412551879882,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,117.192,0.0,0.0,0.0,0.0,42.448,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058975978870296,0.0078678131103515,0.00762939453125,0.00762939453125,0.0049918889999389,0.0081062316894531,0.0067949295043945,0.0081062316894531,0.006103515625,0.0,0.0,0.0079631805419921,0.0116348266601562,0.022125244140625,0.496,1.424,0.0,0.0,117.192,3.744,4.232,0.0,0.0,99.024,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060743360377069,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0049976202157827,0.0143051147460937,0.0058412551879882,0.0143051147460937,0.0059127807617187,0.0,0.0,0.0075340270996093,0.012063980102539,0.0241756439208984,0.496,1.424,0.0,0.0,114.552,3.744,4.232,0.0,0.0,90.032,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060430847772277,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0046376259096207,0.00762939453125,0.0052452087402343,0.00762939453125,0.0065803527832031,0.0,0.0,0.0095844268798828,0.0121593475341796,0.0311851501464843,0.496,1.424,0.0,0.0,116.048,12.008,11.968,0.0,0.0,122.264,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060832146370765,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0050820802387438,0.0083446502685546,0.0067710876464843,0.0083446502685546,0.006723403930664,0.0,0.0,0.0086307525634765,0.0110626220703125,0.0205516815185546,0.496,1.424,0.0,0.0,118.096,3.744,4.232,0.0,0.0,73.368,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063827381798283,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0049334305983323,0.00762939453125,0.0061988830566406,0.00762939453125,0.0060929192437065,0.0,0.0,0.0070095062255859,0.0112056732177734,0.0276565551757812,0.496,1.424,0.0,0.0,115.424,8.792,7.208,0.0,0.0,64.368,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062546326746394,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0048732757568359,0.0100135803222656,0.0057220458984375,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.856,0.0,0.0,0.0,0.0,65.256,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060399373372395,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0050946285850123,0.009775161743164,0.006723403930664,0.009775161743164,0.0066280364990234,0.0,0.0,0.0084400177001953,0.0117778778076171,0.0220775604248046,0.496,1.424,0.0,0.0,114.728,3.744,4.232,0.0,0.0,46.76,0
