time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006233281757108,0.0083446502685546,0.007796287536621,0.0065565109252929,0.0055233637491861,0.0069141387939453,0.0095367431640625,0.0102996826171875,0.00762939453125,0.0,0.0,0.0102996826171875,0.0110149383544921,0.0199317932128906,1.344,2.272,0.0,0.0,115.048,3.744,4.232,0.0,0.0,48.384,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006377106845969,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.005801518758138,0.007486343383789,0.0095367431640625,0.0095367431640625,0.0073909759521484,0.0,0.0,0.0099658966064453,0.0111579895019531,0.0267267227172851,0.496,1.424,0.0,0.0,115.648,7.488,8.464,0.0,0.0,34.6,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063712053959912,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0053882598876953,0.0059843063354492,0.00762939453125,0.00762939453125,0.0061137335641043,0.0,0.0,0.0082731246948242,0.0103563070297241,0.0265836715698242,0.496,1.424,0.0,0.0,116.528,12.536,11.44,0.0,0.0,57.872,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061245247869208,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0055313110351562,0.0064849853515625,0.0126361846923828,0.0126361846923828,0.0058889389038085,0.0,0.0,0.0077009201049804,0.0100135803222656,0.0242471694946289,0.496,1.424,0.0,0.0,115.984,8.264,7.736,0.0,0.0,68.648,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006262935809235,0.0085830688476562,0.00762939453125,0.00762939453125,0.0054334339342619,0.0064373016357421,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.6,0.0,0.0,0.0,0.0,52.568,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063554564518715,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0060984962864925,0.0082015991210937,0.0166893005371093,0.0166893005371093,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,115.016,0.0,0.0,0.0,0.0,57.448,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062273509466826,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0052777203646573,0.0061750411987304,0.0133514404296875,0.0133514404296875,0.0067710876464843,0.0,0.0,0.0092983245849609,0.0109672546386718,0.0203132629394531,0.496,1.424,0.0,0.0,114.536,3.744,4.232,0.0,0.0,59.616,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062251091003417,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0054286076472355,0.006723403930664,0.0081062316894531,0.0081062316894531,0.0062465667724609,0.0,0.0,0.0081300735473632,0.0110387802124023,0.027775764465332,0.496,1.424,0.0,0.0,112.0,7.488,8.464,0.0,0.0,34.008,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060250606442907,0.0080585479736328,0.0085830688476562,0.0085830688476562,0.0053511725531684,0.0062942504882812,0.0126361846923828,0.0126361846923828,0.0058174133300781,0.0,0.0,0.007486343383789,0.0109195709228515,0.0205039978027343,0.496,1.392,0.0,0.0,118.328,3.744,4.232,0.0,0.0,22.232,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075522199792,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0056823094685872,0.0064373016357421,0.0102519989013671,0.0102519989013671,0.0061110446327611,0.0,0.0,0.008249282836914,0.0110580807640438,0.0264644622802734,0.496,1.424,0.0,0.0,113.256,17.056,14.944,0.0,0.0,12.768,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062869687385747,0.0088214874267578,0.00762939453125,0.00762939453125,0.005824225289481,0.0076532363891601,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,120.952,0.0,0.0,0.0,0.0,55.216,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063234300755742,0.0088214874267578,0.0109672546386718,0.0109672546386718,0.0052165985107421,0.0058650970458984,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.16,0.0,0.0,0.0,0.0,97.688,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063862966660836,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0050181434268043,0.0054836273193359,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.984,0.0,0.0,0.0,0.0,90.312,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062581911608947,0.0083446502685546,0.00762939453125,0.00762939453125,0.005407766862349,0.0061988830566406,0.0107288360595703,0.0107288360595703,0.0061511993408203,0.0,0.0,0.0086545944213867,0.0108003616333007,0.0265121459960937,0.496,1.424,0.0,0.0,115.496,7.488,8.464,0.0,0.0,97.168,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060553574443456,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0050862630208333,0.0057220458984375,0.0081062316894531,0.0081062316894531,0.006270408630371,0.0,0.0,0.0086069107055664,0.0110149383544921,0.0271081924438476,0.496,1.424,0.0,0.0,115.496,7.488,8.464,0.0,0.0,67.496,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062697004563737,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0055233637491861,0.0065803527832031,0.0150203704833984,0.0150203704833984,0.0062346458435058,0.0,0.0,0.0084161758422851,0.0109791755676269,0.0267744064331054,0.496,1.424,0.0,0.0,118.448,16.528,15.472,0.0,0.0,79.344,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063936309059067,0.0083446502685546,0.00762939453125,0.00762939453125,0.0054339567820231,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,118.448,0.0,0.0,0.0,0.0,98.24,1
