time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062356540812781,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.004659096399943,0.0112056732177734,0.0112056732177734,0.005650520324707,0.0059843063354492,0.0082969665527343,0.0106573104858398,0.0238418579101562,0.496,1.424,0.0,0.0,0.0,0.0,8.264,7.736,114.52,0.0,0.0,0.0,0.0,0.0,162.096,0
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061705560967473,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0082254409790039,0.0102519989013671,0.0102519989013671,0.0090837478637695,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,115.648,0.0,0.0,0.0,0.0,0.0,3.296,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061469502968363,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0052452087402343,0.0100135803222656,0.0100135803222656,0.0060081481933593,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,8.112,0
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006543004454063,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0040678851372372,0.0102519989013671,0.0102519989013671,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,123.64,0.0,0.0,0.0,0.0,0.0,5081.272,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064992904663085,0.0090837478637695,0.0073909759521484,0.0073909759521484,0.0042038684858079,0.0143051147460937,0.0143051147460937,0.0052452087402343,0.0074386596679687,0.009012222290039,0.0100612640380859,0.0177383422851562,0.496,1.424,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,2769.928,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059306621551513,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0069141387939453,0.0087499618530273,0.0114043553670247,0.0206232070922851,0.496,1.424,0.0,0.0,0.0,0.0,4.272,3.704,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058674812316894,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0058280097113715,0.0068187713623046,0.0096234408291903,0.0214576721191406,0.496,1.36,0.0,0.0,0.0,0.0,8.792,7.208,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062958866942162,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0044045510230126,0.0109672546386718,0.0109672546386718,0.0054836273193359,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,132.768,0.0,0.0,0.0,0.0,0.0,2719.072,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064989820641664,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0042035466148739,0.0123977661132812,0.0123977661132812,0.0050067901611328,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.848,0.848,0.0,0.0,113.256,0.0,0.0102519989013671,0.0138282775878906,0.0138282775878906,0.0102519989013671,4005.264,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059474812875879,0.0076055526733398,0.0069141387939453,0.0069141387939453,0.0060399373372395,0.0092983245849609,0.0092983245849609,0.0066757202148437,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.848,0.848,0.0,0.0,118.448,0.0,0.0047683715820312,0.0157356262207031,0.0157356262207031,0.0047683715820312,8.472,1
