time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.005960464477539,0.005960464477539,0.0,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0081062316894531,0.00604705430975,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.0054836273193359,0.006103515625,0.0081062316894531,0.0081062316894531,0.0079631805419921,0.0138282775878906,0.0138282775878906,0.0118732452392578,0.0223159790039062,0.0078678131103515,0.0058798054557534,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0098943710327148,0.0124692916870117,0.0077247619628906,0.0128746032714843,0.0151634216308593,0.0109195709228515,0.0210762023925781,0.0081062316894531,0.0060296058654785,0.0,0.0,1.344,2.208,0.0,0.0,3.744,4.232,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070571899414062,0.005960464477539,0.005960464477539,0.0090837478637695,0.0066757202148437,0.0066757202148437,0.0105619430541992,0.0247001647949218,0.0078678131103515,0.0059866905212402,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.00762939453125,0.0058650970458984,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0081062316894531,0.006108283996582,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.00762939453125,0.00762939453125,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0081062316894531,0.006089756144813,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0065803527832031,0.0066757202148437,0.0066757202148437,0.0086307525634765,0.00762939453125,0.00762939453125,0.0108718872070312,0.0197410583496093,0.0083446502685546,0.0059652091258793,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0043146071895476,0.0052452087402343,0.0056266784667968,0.0102519989013671,0.0102519989013671,0.0071525573730468,0.0119209289550781,0.0119209289550781,0.0101566314697265,0.018930435180664,0.0083446502685546,0.0062990879666978,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,0.0,140.184,0.0,0.0,0.0,0.0,1162.912,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0051657358805338,0.0061988830566406,0.0062465667724609,0.0081062316894531,0.0081062316894531,0.0084161758422851,0.0112056732177734,0.0112056732177734,0.0098228454589843,0.023651123046875,0.00762939453125,0.0058679438349026,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,0.0,114.376,0.0,0.0,0.0,0.0,25.44,1
