time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065600872039794,0.0088453292846679,0.0069141387939453,0.0069141387939453,0.0043971629082402,0.005340576171875,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0,778.616,1
170,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060466256472143,0.0078439712524414,0.0066757202148437,0.0066757202148437,0.0044432553378018,0.005650520324707,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,118.32,0.0,0.0,0.0,0.0,446.496,1
171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060945007931533,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0048705509730747,0.0060558319091796,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0,55.144,1
172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066650976048837,0.0092983245849609,0.0112056732177734,0.0112056732177734,0.0040708062620629,0.0047683715820312,0.0062942504882812,0.0100135803222656,0.0100135803222656,0.008392333984375,0.0,0.0108242034912109,0.0,0.0206947326660156,0.0,0.496,1.424,0.0,0.0,118.448,3.744,4.232,0.0,0.0,13063.408,1
173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522603504693,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0049372514088948,0.0066995620727539,0.005960464477539,0.0123977661132812,0.0123977661132812,0.0073909759521484,0.0,0.0107765197753906,0.0,0.0199317932128906,0.0,0.496,1.424,0.0,0.0,113.256,3.744,4.232,0.0,0.0,190.208,1
174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061704151665986,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0061988830566406,0.0061988830566406,0.0058412551879882,0.0145435333251953,0.0145435333251953,0.0062942504882812,0.0100135803222656,0.0104506810506184,0.0100135803222656,0.0185966491699218,0.0,0.496,1.392,3.312,0.0,113.256,4.272,3.704,1067.009210586548,1067.009210586548,1.192,1
175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063409946234942,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0044620820205577,0.0052452087402343,0.006103515625,0.0081062316894531,0.0081062316894531,0.0079154968261718,0.0,0.0121116638183593,0.0,0.023508071899414,0.0,0.496,1.424,0.0,3.28,126.248,4.52,3.504,0.0,0.0,1460.664,1
176,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064717003362095,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0044002595087604,0.005340576171875,0.0,0.0152587890625,0.0152587890625,0.0,0.0061988830566406,0.0,0.0061988830566406,0.0,0.0,0.496,1.424,0.496,0.0,115.864,0.0,0.0,1067.0173168182373,1067.0173168182373,3280.552,1
177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070885046204524,0.0095367431640625,0.0083446502685546,0.0083446502685546,0.0042836397688909,0.0050067901611328,0.0,0.0152587890625,0.0152587890625,0.0,0.0050067901611328,0.0,0.0050067901611328,0.0,0.0,0.496,1.424,0.784,0.848,117.192,0.0,0.0,1067.011833190918,1067.011833190918,9534.416,1
178,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064823757949753,0.0090599060058593,0.0095367431640625,0.0095367431640625,0.0048746933808197,0.005960464477539,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.496,117.192,0.0,0.0,0.0,0.0,568.592,1
