time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,F-node
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0067794322967529,0.0,0.0,0.0060081481933593,0.0085830688476562,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,4.976,8.264,7.736,25.0,33.33333333333333,0.0112056732177734,0.0267744064331054,1048.6238479614258,746.9274997711182,-872.6153135299683,-966.9898748397828,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0067567825317382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,4.752,5.264,0.0,0.0,33.33333333333333,0.0,0.0,0.0,997.0303297042848,661.3191366195679,-416.623592376709,-746.660073598226,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062712389438306,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0.0,0.0,5.6,5.76,0.0,0.0,25.0,25.0,0.0,0.0,1047.3717212677002,746.7029094696045,-417.5894260406494,-747.3073800404867,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068295001983642,0.0061988830566406,0.0061988830566406,0.0070095062255859,0.0101089477539062,0.0,0.0,0.0,0.0,112.696,1.192,0.0,0.0,1.344,1.28,3.744,4.232,50.0,50.0,0.0126361846923828,0.0246047973632812,919.2700386047364,919.2700386047364,-309.9808692932129,-309.9808692932129,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0062902175371919,0.0045299530029296,0.0045299530029296,0.0060319900512695,0.0079870223999023,0.0,0.0,0.0,0.0,113.256,1.192,0.0,0.0,5.6,5.76,7.488,8.464,25.0,25.0,0.0114202499389648,0.029921531677246,1047.1364498138428,747.0823923746744,-419.1610336303711,-747.3417123158773,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0064992904663085,0.0,0.0,0.0064531962076822,0.0087261199951171,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,12.008,11.968,25.0,25.0,0.0114758809407552,0.02899169921875,1044.6606636047363,746.6580073038737,-420.08256912231445,-747.7060953776041,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0063073635101318,0.0,0.0,0.0065326690673828,0.0091314315795898,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,8.264,7.736,25.0,25.0,0.0109672546386718,0.0266790390014648,1044.7352886199951,747.0201651255289,-419.7887420654297,-746.6004689534506,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062155723571777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,0.0,0.0,25.0,25.0,0.0,0.0,1044.321584701538,747.1570173899332,-421.5435028076172,-747.6709683736166,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0086069107055664,0.0063538551330566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.104,5.76,0.0,0.0,0.0,25.0,0.0,0.0,1043.475341796875,747.2240130106608,-421.39344215393066,-747.0223108927408,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.006162112032003,0.0069141387939453,0.0069141387939453,0.0059127807617187,0.0075340270996093,0.0,0.0,0.0,0.0,113.256,1.192,0.0,0.0,5.6,5.76,3.744,4.232,25.0,25.0,0.0115871429443359,0.0227928161621093,1042.3266887664795,746.7973232269287,-423.4286785125733,-748.0065027872721,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0090837478637695,0.0068986415863037,0.0045299530029296,0.0045299530029296,0.0095605850219726,0.0124216079711914,0.0,0.0,0.0,0.0,112.696,1.192,0.0,0.0,4.752,4.48,7.488,8.464,33.33333333333333,0.0,85.0212574005127,85.04128456115723,1134.8180532455444,741.4530515670776,-869.8437452316284,-961.4270925521852,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006680464863184,0.00762939453125,0.00762939453125,0.0082174936930338,0.0131130218505859,0.0,0.0,0.0,0.0,113.256,1.192,0.0,0.0,1.344,1.28,12.008,11.968,50.0,50.0,85.01936594645183,85.03494262695312,1078.760862350464,1078.760862350464,-318.1235790252685,-318.1235790252685,1
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0069451332092285,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,0.592,0.592,25.0,25.0,85.0210189819336,85.03379821777344,1040.9759521484375,746.9629446665446,-456.0328960418701,-853.9602756500244,1
