time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062949621855322,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0,0.0061988830566406,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0105142593383789,0.0236988067626953,0.0,0.496,1.424,0.0,0.0,0.0,115.096,8.264,7.736,0.0,0.0059366226196289,0.0083446502685546,2.808,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063851105039985,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0052134195963541,0.0,0.0063419342041015,0.0,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.392,0.0,0.0,0.0,0.0,0.0,35.912,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064301846632316,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0050514936447143,0.0,0.0056028366088867,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,115.544,0.0,0.0,0.0,0.0,0.0,39.36,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061704151665986,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0056823094685872,0.0,0.0072956085205078,0.0,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,50.912,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062378326264938,0.0087976455688476,0.0102519989013671,0.0102519989013671,0.0056853661170372,0.0,0.007486343383789,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0101089477539062,0.0186443328857421,0.0,0.496,1.424,0.0,0.0,0.0,115.84,3.744,4.232,0.0,0.0059127807617187,0.0073909759521484,27.784,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063464193060846,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0048024313790457,0.0,0.005650520324707,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0106334686279296,0.0194072723388671,0.0,0.496,1.424,0.0,0.0,0.0,115.648,3.744,4.232,0.0,0.0058174133300781,0.0071525573730468,31.424,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063851105039985,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0053048133850097,0.0,0.0063180923461914,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0101566314697265,0.0182628631591796,0.0,0.496,1.424,0.0,0.0,0.0,115.64,3.744,4.232,0.0,0.0059127807617187,0.0075817108154296,43.312,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063499601760713,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0048692409808819,0.0,0.0054836273193359,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0105857849121093,0.0198841094970703,0.0,0.496,1.424,0.0,0.0,0.0,117.616,4.52,3.504,0.0,0.0066280364990234,0.0082015991210937,68.064,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061751598149389,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0052592333625344,0.0,0.0061988830566406,0.0,0.0,0.0,0.0169277191162109,0.0169277191162109,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,115.8,0.0,0.0,0.0,0.0,0.0,45.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062000751495361,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.004740322337431,0.0,0.005340576171875,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,42.824,0
