time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059700012207031,0.0078916549682617,0.0,0.005960464477539,0.0,0.0066757202148437,0.0066757202148437,0.0077247619628906,0.0102519989013671,0.0102519989013671,0.0104904174804687,0.019693374633789,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059914588928222,0.0081062316894531,0.0,0.006103515625,0.0,0.0069141387939453,0.0069141387939453,0.0086069107055664,0.0069141387939453,0.0069141387939453,0.0113487243652343,0.0244855880737304,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060105323791503,0.0083446502685546,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060525270971921,0.0081062316894531,0.0056425730387369,0.0,0.0075340270996093,0.0073909759521484,0.0073909759521484,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,19.384,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070946887858863,0.0102519989013671,0.0038531740391975,0.0,0.0045299530029296,0.0083446502685546,0.0083446502685546,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.848,0.0,0.0,39591.712,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067252923946569,0.0090599060058593,0.003864078460002,0.0068187713623046,0.0045299530029296,0.0085830688476562,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.01068115234375,0.0199317932128906,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,0.0,118.448,0.0,0.0,3482.04,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060856342315673,0.0081062316894531,0.0,0.0069618225097656,0.0,0.0073909759521484,0.0073909759521484,0.0102519989013671,0.011444091796875,0.011444091796875,0.0109195709228515,0.0205039978027343,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061047077178955,0.0083446502685546,0.0,0.0058809916178385,0.0,0.005960464477539,0.005960464477539,0.0069618225097656,0.0109672546386718,0.0109672546386718,0.0101869756525213,0.0240802764892578,0.0,0.0,0.496,1.36,0.0,0.0,8.792,7.208,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060570240020751,0.0081300735473632,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0081062316894531,0.0090599060058593,0.0,0.0090599060058593,0.0066757202148437,0.0066757202148437,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.552,0.0,0.0,4.264,0
