time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060462951660156,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0102519989013671,0.0102519989013671,0.0073671340942382,0.0,0.0,0.0088453292846679,0.0,0.0,0.0112056732177734,0.023961067199707,0.496,1.36,0.0,0.0,0.0,15.544,14.52,112.0,0.0,0.0,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059902667999267,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0,0.0,0.0092029571533203,0.0,0.0,0.0109354654947916,0.0271797180175781,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059113782994887,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0112056732177734,0.0112056732177734,0.0068187713623046,0.0,0.0,0.0092506408691406,0.0,0.0,0.0118255615234375,0.022745132446289,0.496,1.36,0.0,0.0,0.0,4.232,3.744,127.104,0.0069618225097656,0.0092506408691406,16.68,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059113782994887,0.0081062316894531,0.0071525573730468,0.0073432922363281,0.0144243240356445,0.0147104263305664,0.0063657760620117,0.0,0.0,0.0093460083007812,0.0,0.0,0.0116586685180664,0.0278472900390625,1.344,2.208,0.0,0.0,0.0,7.736,8.264,127.104,0.0069618225097656,0.0092506408691406,16.68,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0081062316894531,0.0081062316894531,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060351926888992,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0126361846923828,0.0126361846923828,0.0060081481933593,0.0,0.0,0.00762939453125,0.0,0.0,0.0111103057861328,0.0210762023925781,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0081062316894531,0.0081062316894531,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060434958234948,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0104904174804687,0.0104904174804687,0.0061511993408203,0.0,0.0,0.00762939453125,0.0,0.0,0.0118255615234375,0.022125244140625,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0047683715820312,0.0047683715820312,1.192,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059974193572998,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0116825103759765,0.0116825103759765,0.0064373016357421,0.0,0.0,0.0089645385742187,0.0,0.0,0.0112215677897135,0.0286579132080078,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062465667724609,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0067710876464843,0.0,0.0,0.0094413757324218,0.0,0.0,0.0125408172607421,0.0229835510253906,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059475452441887,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.006103515625,0.0,0.0,0.0086069107055664,0.0,0.0,0.0109434127807617,0.026702880859375,0.496,1.36,0.0,0.0,0.0,7.736,8.264,125.432,0.0062465667724609,0.0086784362792968,34.552,0
