time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062356540812781,0.0083446502685546,0.0,0.0,0.0,0.0,0.0045299530029296,0.0060081481933593,0.0045299530029296,0.009775161743164,0.009775161743164,0.0072956085205078,0.0123977661132812,0.0243663787841796,0,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0088214874267578,0.0088214874267578,1.192,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060506127960053,0.0081062316894531,0.0,0.0,0.0,0.0,0.009775161743164,0.0065565109252929,0.009775161743164,0.0090599060058593,0.0090599060058593,0.0100374221801757,0.0115871429443359,0.0286579132080078,0,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,0.0071525573730468,0.0071525573730468,1.192,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006208325376605,0.0087976455688476,0.0,0.0,0.0,0.0,0.0065565109252929,0.0,0.0076055526733398,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,116.144,0.0,0.0064373016357421,0.0064373016357421,3.792,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061488151550292,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059830015571556,0.0081062316894531,0.0,0.0,0.0,0.0,0.0085830688476562,0.0,0.0085830688476562,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,114.664,0.0,0.0066757202148437,0.0066757202148437,2.376,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063578287760416,0.0081062316894531,0.0,0.0,0.0,0.0,0.0081062316894531,0.0066757202148437,0.0081062316894531,0.00762939453125,0.00762939453125,0.0092506408691406,0.0116825103759765,0.0217914581298828,0,0.496,1.36,0.0,0.0,4.232,3.744,116.552,0.0,0.0073909759521484,0.0073909759521484,4.264,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062489509582519,0.0086069107055664,0.0,0.0,0.0,0.0,0.0,0.0059127807617187,0.0,0.009775161743164,0.009775161743164,0.0075817108154296,0.0116825103759765,0.0225543975830078,0,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063255789199313,0.0083446502685546,0.0,0.0,0.0,0.0,0.005907482571072,0.0057697296142578,0.008392333984375,0.005960464477539,0.005960464477539,0.0074386596679687,0.0112056732177734,0.0207424163818359,0,0.496,1.36,0.0,0.0,4.232,3.744,134.168,0.0,0.0071525573730468,0.0071525573730468,37.816,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063027485762492,0.008559226989746,0.0,0.0,0.0,0.0,0.0055432319641113,0.0071525573730468,0.0066280364990234,0.0140666961669921,0.0140666961669921,0.0084877014160156,0.0102043151855468,0.0177383422851562,0,0.496,1.424,0.0,0.0,3.504,4.52,115.584,0.0,0.0069141387939453,0.0069141387939453,34.896,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060458681476649,0.0078678131103515,0.0,0.0,0.0,0.0,0.0042915344238281,0.0,0.0042915344238281,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0083446502685546,0.0083446502685546,1.192,0
